article_id	published_at	url	status	detail	collection	timestamp	replay_url	global_count	now_count	submission_attempted
d2f743b35e08ccfc0d05ef87ceebc86f3f559b4e	2018-12-22T05:30:00Z	https://www.publico.pt/2018/12/22/fugas/noticia/brasil-dizse-sim-mandioca-1855017	missing	submission_failed				0	0	yes
0a1713688c3b974cc02e5be71e2cb66a9d383746	2019-02-03T09:08:00Z	https://www.publico.pt/2019/02/03/p3/noticia/plastico-nunca-mais-agora-ha-palhinhas-de-massa-e-sao-portuguesas-1860304	missing	submission_failed				0	0	yes
c5b42a416cabd176c7b70e8226d97474d212b81a	2019-02-04T11:52:05Z	https://www.publico.pt/2019/02/04/p3/noticia/saber-ler-a-data-de-validade-ajuda-a-combater-o-desperdicio-alimentar-1860587	missing	submission_failed				0	0	yes
f0e99a0ae701489f72ab48d0db09f6eacd708c5e	2019-02-06T11:42:29Z	https://www.publico.pt/2019/02/06/p3/noticia/repetir-comida-1860832	missing	submission_failed				0	0	yes
66ec8d62375322b606e606a1a321cd812f375387	2019-02-20T18:32:04Z	https://www.publico.pt/2019/02/20/p3/noticia/startup-porto-ajuda-restaurantes-combaterem-desperdicio-alimentar-1862755	missing	submission_failed				0	0	yes
d1131a8aa5579f5201bfd06b47e4b7538a9f49e5	2019-03-22T07:01:00Z	https://www.publico.pt/2019/03/22/sociedade/opiniao/atualidade-futuro-estrategia-alimentar-nacional-1866341	missing	submission_failed				0	0	yes
bec1d28fc838c4d93d9fa55c186fc4b9f50433a0	2019-04-10T06:27:00Z	https://www.publico.pt/2019/04/10/p3/noticia/anna-resgata-comida-lixo-combater-desperdicio-1868420	missing	submission_failed				0	0	yes
4e194e25cc4c480b8188619952aef34c4486874d	2019-04-30T12:37:51Z	https://www.publico.pt/2019/04/30/p3/noticia/separar-o-lixo-nao-chega-claire-mostra-como-vive-numa-casa-quase-sem-desperdicio-1870964	missing	submission_failed				0	0	yes
c48a691df4727ee80c90d01f7691705e87a989b2	2019-05-05T08:12:00Z	https://www.publico.pt/2019/05/05/p3/video/ana-milhazes-sete-dicas-para-viver-sem-desperdicio-20190504-181303	missing	submission_failed				0	0	yes
5d172072bfd4e79c0a57ed3eba53f33de8209407	2019-06-10T08:04:00Z	https://www.publico.pt/2019/06/10/p3/noticia/mesa-ambiente-dias-alimentacao-sustentavel-estao-volta-lisboa-1875569	missing	submission_failed				0	0	yes
12156456756faae355d010878bfb7b02467dade2	2019-07-26T17:55:20Z	https://www.publico.pt/2019/07/26/impar/noticia/poupar-agua-cozinha-chef-chakall-dicas-1881399	missing	submission_failed				0	0	yes
a66e77e118c71220e4ea76b223aa4c4dc507c02d	2019-08-03T06:44:00Z	https://www.publico.pt/2019/08/03/p3/noticia/emprego-vitor-sara-verde-cores-alimentos-biologicos-1877643	missing	submission_failed				0	0	yes
415d76fb501b04938a64b92dcb01fac5f12f2dda	2019-08-13T08:15:00Z	https://www.publico.pt/2019/08/13/p3/noticia/familia-construiu-microcasa-quase-100-sustentavel-pastos-acorianos-1883173	missing	submission_failed				0	0	yes
6b826a4b355382c0e51ad93e8fd93b8acc268d92	2019-08-19T16:50:05Z	https://www.publico.pt/2019/08/19/sociedade/opiniao/trinta-anos-engenharia-alimentar-portugal-desafiante-futuro-sustentavel-1883756	missing	submission_failed				0	0	yes
1da87ee62146642097f6cbbc2cc095aacd8836cd	2019-09-02T11:14:56Z	https://www.publico.pt/2019/09/02/p3/noticia/um-restaurante-um-frigorifico-e-dois-portugueses-na-finlandia-contra-o-desperdicio-alimentar-1885189	missing	submission_failed				0	0	yes
127d7191acdc39f254e7861e5cfe440883e0c7ee	2019-09-19T17:13:23Z	https://www.publico.pt/2019/09/19/p3/noticia/desperdicio-mobilidade-reciclagem-o-que-fazem-as-universidades-para-serem-mais-verdes-1887134	missing	submission_failed				0	0	yes
