generated_at	2026-03-26T02:25:51Z
https://www.publico.pt/2019/04/30/p3/noticia/separar-o-lixo-nao-chega-claire-mostra-como-vive-numa-casa-quase-sem-desperdicio-1870964	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2019/05/05/p3/video/ana-milhazes-sete-dicas-para-viver-sem-desperdicio-20190504-181303	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2019/06/10/p3/noticia/mesa-ambiente-dias-alimentacao-sustentavel-estao-volta-lisboa-1875569	assets/data/corpus.json
https://www.publico.pt/2019/07/26/impar/noticia/poupar-agua-cozinha-chef-chakall-dicas-1881399	assets/data/corpus.json
https://www.publico.pt/2019/08/03/p3/noticia/emprego-vitor-sara-verde-cores-alimentos-biologicos-1877643	assets/data/corpus.json
https://www.publico.pt/2019/08/13/p3/noticia/familia-construiu-microcasa-quase-100-sustentavel-pastos-acorianos-1883173	assets/data/corpus.json
https://www.publico.pt/2019/08/19/sociedade/opiniao/trinta-anos-engenharia-alimentar-portugal-desafiante-futuro-sustentavel-1883756	assets/data/corpus.json
https://www.publico.pt/2019/09/02/p3/noticia/um-restaurante-um-frigorifico-e-dois-portugueses-na-finlandia-contra-o-desperdicio-alimentar-1885189	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2019/09/19/p3/noticia/desperdicio-mobilidade-reciclagem-o-que-fazem-as-universidades-para-serem-mais-verdes-1887134	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2019/09/20/fugas/noticia/kind-kitchen-cozinha-vegana-nao-ha-rei-prato-1887015	assets/data/corpus.json
https://www.publico.pt/2019/10/08/local/noticia/bipzip-tao-importante-derrubar-muros-bairros-lisboetas-1889326	assets/data/corpus.json
https://www.publico.pt/2019/10/30/local/noticia/shopping-brasilia-porto-vai-renovado-ate-2021-convida-lojistas-lumiere-1891953	assets/data/corpus.json
https://www.publico.pt/2019/11/27/p3/noticia/phenix-esta-aplicacao-quer-evitar-desperdicio-da-comida-as-flores-1895340	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2019/11/29/infografia/pegada-roupa-391	assets/data/corpus.json
https://www.publico.pt/2020/01/21/economia/noticia/fruta-feia-evita-duas-mil-toneladas-desperdicio-alimentar-paga-milhao-euros-agricultores-1901179	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/featured.json
https://www.publico.pt/2020/01/23/impar/opiniao/menos-nutrientes-alimentos-troca-justa-sustentavel-1901237	assets/data/corpus.json
https://www.publico.pt/2020/02/04/p3/noticia/empresas-associacoes-governo-assinam-pacto-acabar-plasticos-uso-unico-portugal-1902724	assets/data/corpus.json
https://www.publico.pt/2020/02/04/p3/noticia/too-good-to-go-app-quer-evitar-desperdicio-comida-chegou-porto-1902843	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/featured.json
https://www.publico.pt/2020/02/04/sociedade/noticia/reciclagem-plastico-numeros-zero-nao-reflectem-esforco-ministerio-1902790	assets/data/corpus.json
https://www.publico.pt/2020/02/07/fugas/noticia/viver-diferente-menos-desperdicio-1902963	assets/data/corpus.json
https://www.publico.pt/2020/04/01/opiniao/noticia/ecossocialismo-ideia-cujo-tempo-chegou-1910429	assets/data/corpus.json
https://www.publico.pt/2020/05/14/estudiop/noticia/42-mil-toneladas-plastico-nao-sao-so-numero-1916460	assets/data/corpus.json
https://www.publico.pt/2020/06/23/sociedade/noticia/vale-banana-estudo-mostra-retalho-reduzir-desperdicio-alimentar-terco-1921609	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2020/08/05/p3/noticia/video-posnos-falar-desperdicio-alimentar-problema-nao-novo-ha-combata-1927217	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2020/08/07/p3/noticia/embalagens-biodegradaveis-mao-portuguesa-distinguidas-comissao-europeia-1927451	assets/data/corpus.json
https://www.publico.pt/2020/09/29/sociedade/noticia/unidos-desperdicio-junta-lutam-comida-nao-acabe-lixo-1933288	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/storyline.json, assets/data/storyline_bundled.json, assets/data/storyline_bundled_full.json
https://www.publico.pt/2020/10/22/p3/noticia/fruta-feia-distinguida-premio-europeu-life-prova-funciona-1936266	assets/data/featured.json
https://www.publico.pt/2020/11/10/p3/fotogaleria/abate-milhoes-visons-dinamarca-comecou-decisao-pode-sido-ilegal-403467	assets/data/corpus.json
https://www.publico.pt/2020/11/19/local/noticia/restaurantes-vao-evitar-mandar-tantos-restos-lixo-1939893	assets/data/corpus.json
https://www.publico.pt/2020/11/24/impar/noticia/ha-16-portugueses-corrida-oscares-livros-cozinha-1940435	assets/data/corpus.json
